,id,show,episode_title,air_date,rating,number_of_ratings,episode_number,season,imdb_episode_id,sizing
69,2863,Seinfeld,The Fusilli Jerry,1995-04-27,8.9,1723,104,6,tt0697702,10.853404990514889
68,2864,Seinfeld,The Diplomat's Club,1995-05-04,8.2,1212,105,6,tt0697685,7.634548374059226
67,2865,Seinfeld,The Face Painter,1995-05-11,8.5,1315,106,6,tt0697693,8.283359003207824
66,2866,Seinfeld,The Understudy,1995-05-18,8.2,1264,107,6,tt0697802,7.962103254794441
65,2867,Seinfeld,The Engagement,1995-09-21,8.7,1356,108,7,tt0697690,8.541623428402897
64,2868,Seinfeld,The Postponement,1995-09-28,8.4,1213,109,7,tt0697759,7.640847506381058
63,2869,Seinfeld,The Maestro,1995-10-05,8.2,1276,110,7,tt0697726,8.037692842656414
62,2870,Seinfeld,The Wink,1995-10-12,8.8,1403,111,7,tt0697812,8.837682647528956
61,2871,Seinfeld,The Hot Tub,1995-10-19,8.8,1373,112,7,tt0697710,8.648708677874025
60,2872,Seinfeld,The Soup Nazi,1995-11-02,9.6,3582,113,7,tt0697782,22.5634919767988
59,2873,Seinfeld,The Secret Code,1995-11-09,8.5,1282,114,7,tt0697771,8.0754876365874
58,2874,Seinfeld,The Pool Guy,1995-11-16,8.5,1250,115,7,tt0697758,7.873915402288806
57,2875,Seinfeld,The Sponge,1995-12-07,8.5,1332,116,7,tt0697783,8.390444252678952
56,2876,Seinfeld,The Gum,1995-12-14,8.8,1492,117,7,tt0697705,9.39830542417192
55,2877,Seinfeld,The Rye,1996-01-04,9.0,1741,118,7,tt0697769,10.966789372307847
54,2878,Seinfeld,The Caddy,1996-01-25,8.7,1317,119,7,tt0697666,8.295957267851486
53,2879,Seinfeld,The Seven,1996-02-01,8.3,1183,120,7,tt0697774,7.451873536726126
52,2880,Seinfeld,The Cadillac,1996-02-08,8.6,1338,121,7,tt0697667,8.428239046609939
51,2881,Seinfeld,The Shower Head,1996-02-15,8.6,1219,122,7,tt0697776,7.678642300312043
50,2882,Seinfeld,The Doll,1996-02-22,8.3,1191,123,7,tt0697687,7.502266595300774
49,2883,Seinfeld,The Friars Club,1996-03-07,8.0,1173,124,7,tt0697700,7.388882213507816
48,2884,Seinfeld,The Wig Master,1996-04-04,8.3,1201,125,7,tt0697811,7.565257918519085
47,2885,Seinfeld,The Calzone,1996-04-25,9.0,1696,126,7,tt0697669,10.683328417825454
46,2886,Seinfeld,The Bottle Deposit,1996-05-02,8.9,1653,127,7,tt0697660,10.412465727986717
45,2887,Seinfeld,The Wait Out,1996-05-09,8.5,1181,128,7,tt0697807,7.4392752720824635
44,2888,Seinfeld,The Invitations,1996-05-16,8.8,1662,129,7,tt0697712,10.469157918883196
43,2889,Seinfeld,The Foundation,1996-09-19,8.4,1202,130,8,tt0697699,7.571557050840916
42,2890,Seinfeld,The Soul Mate,1996-09-26,8.2,1167,131,8,tt0697780,7.35108741957683
41,2891,Seinfeld,The Bizarro Jerry,1996-10-03,9.2,2108,132,8,tt0697657,13.278570934419843
40,2892,Seinfeld,The Little Kicks,1996-10-10,9.0,1842,133,8,tt0697725,11.603001736812784
39,2893,Seinfeld,The Package,1996-10-17,8.8,1276,134,8,tt0697746,8.037692842656414
38,2894,Seinfeld,The Fatigues,1996-10-31,8.3,1179,135,8,tt0697694,7.426677007438802
37,2895,Seinfeld,The Checks,1996-11-07,8.3,1197,136,8,tt0697672,7.54006138923176
36,2896,Seinfeld,The Chicken Roaster,1996-11-14,9.1,1962,137,8,tt0697674,12.35889761543251
35,2897,Seinfeld,The Abstinence,1996-11-21,9.1,1769,138,8,tt0697646,11.143165077319118
34,2898,Seinfeld,The Andrea Doria,1996-12-19,8.5,1193,139,8,tt0697649,7.514864859944437
33,2899,Seinfeld,The Little Jerry,1997-01-09,8.5,1315,140,8,tt0697724,8.283359003207824
32,2900,Seinfeld,The Money,1997-01-16,7.9,1123,141,8,tt0697734,7.073925597416263
31,2901,Seinfeld,The Comeback,1997-01-30,8.8,1423,142,8,tt0697678,8.963665293965576
30,2902,Seinfeld,The Van Buren Boys,1997-02-06,8.2,1195,143,8,tt0697803,7.527463124588099
29,2903,Seinfeld,The Susie,1997-02-13,8.7,1319,144,8,tt0697795,8.308555532495149
28,2904,Seinfeld,The Pothole,1997-02-20,8.8,1307,145,8,tt0697760,8.232965944633175
27,2905,Seinfeld,The English Patient,1997-03-13,8.7,1344,146,8,tt0697691,8.466033840540923
26,2906,Seinfeld,The Nap,1997-04-10,8.9,1592,147,8,tt0697737,10.028218656355023
25,2907,Seinfeld,The Yada Yada,1997-04-24,9.0,2030,148,8,tt0697814,12.78723861331702
24,2908,Seinfeld,The Millennium,1997-05-01,8.3,1206,149,8,tt0697732,7.59675358012824
23,2909,Seinfeld,The Muffin Tops,1997-05-08,8.6,1356,150,8,tt0697736,8.541623428402897
22,2910,Seinfeld,The Summer of George,1997-05-15,8.7,1343,151,8,tt0697794,8.459734708219093
21,2911,Seinfeld,The Butter Shave,1997-09-25,8.6,1374,152,9,tt0697665,8.655007810195855
20,2912,Seinfeld,The Voice,1997-10-02,8.6,1407,153,9,tt0697806,8.86287917681628
19,2913,Seinfeld,The Serenity Now,1997-10-09,9.0,1904,154,9,tt0697773,11.993547940766309
18,2914,Seinfeld,The Blood,1997-10-16,8.4,1255,155,9,tt0697658,7.9054110638979616
17,2915,Seinfeld,The Junk Mail,1997-10-30,8.2,1204,156,9,tt0697716,7.584155315484578
16,2916,Seinfeld,The Merv Griffin Show,1997-11-06,9.1,2118,157,9,tt0697731,13.341562257638152
15,2917,Seinfeld,The Slicer,1997-11-13,8.6,1272,158,9,tt0697777,8.012496313369088
14,2918,Seinfeld,The Betrayal,1997-11-20,9.0,2211,159,9,tt0697655,13.927381563568439
13,2919,Seinfeld,The Apology,1997-12-11,8.4,1219,160,9,tt0697651,7.678642300312043
12,2920,Seinfeld,The Strike,1997-12-18,8.9,1869,161,9,tt0697790,11.773078309502223
11,2921,Seinfeld,The Dealership,1998-01-08,8.7,1348,162,9,tt0697683,8.491230369828248
10,2922,Seinfeld,The Reverse Peephole,1998-01-15,8.5,1263,163,9,tt0697767,7.9558041224726095
9,2923,Seinfeld,The Cartoon,1998-01-29,8.1,1202,164,9,tt0697670,7.571557050840916
8,2924,Seinfeld,The Strongbox,1998-02-05,8.1,1218,165,9,tt0697791,7.672343167990212
7,2925,Seinfeld,The Wizard,1998-02-26,8.2,1136,166,9,tt0697813,7.155814317600067
6,2926,Seinfeld,The Burning,1998-03-19,8.6,1514,167,9,tt0697663,9.536886335252202
5,2927,Seinfeld,The Bookstore,1998-04-09,8.5,1182,168,9,tt0697659,7.445574404404295
4,2928,Seinfeld,The Frogger,1998-04-23,9.0,1783,169,9,tt0697701,11.231352929824752
3,2929,Seinfeld,The Maid,1998-04-30,8.2,1177,170,9,tt0697727,7.414078742795139
2,2930,Seinfeld,The Puerto Rican Day,1998-05-07,8.2,1269,171,9,tt0697761,7.993598916403596
1,2931,Seinfeld,The Chronicle,1998-05-14,8.1,1111,172,9,tt0893212,6.99833600955429
0,2932,Seinfeld,The Finale,1998-05-14,7.7,2142,173,9,tt0697695,13.492741433362099
